title,company,location,time,url
Data Analyst,Coniq,Barcelona,Hace 1 mes,https://es.linkedin.com/jobs/view/data-analyst-at-coniq-3652827423?refId=W4Jq8D%2F3hMr4bcAkUBbrPw%3D%3D&trackingId=pqmIOrd2vCcogCR34no93A%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Visualization Analyst,Experfy,Barcelona,Hace 3 meses,https://es.linkedin.com/jobs/view/data-visualization-analyst-at-experfy-3590307510?refId=W4Jq8D%2F3hMr4bcAkUBbrPw%3D%3D&trackingId=5S0PnSY%2FVx0qEGthaU%2B99A%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Exoticca,Barcelona,Hace 2 meses,https://es.linkedin.com/jobs/view/data-analyst-at-exoticca-3622172076?refId=W4Jq8D%2F3hMr4bcAkUBbrPw%3D%3D&trackingId=zLd6ruwEvhNGJfGoYPArRQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Sanofi,Barcelona,Hace 1 semana,https://es.linkedin.com/jobs/view/data-analyst-at-sanofi-3651426366?refId=W4Jq8D%2F3hMr4bcAkUBbrPw%3D%3D&trackingId=hCAWXWgih3DenibckofVNg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Birchman Group Spain,Barcelona,Hace 2 meses,https://es.linkedin.com/jobs/view/data-analyst-at-birchman-group-spain-3597191582?refId=W4Jq8D%2F3hMr4bcAkUBbrPw%3D%3D&trackingId=T%2F3oZPglyArlUN%2FqyOzb1A%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst - Tableau / PHARMA,Hays,Barcelona,Hace 1 semana,https://es.linkedin.com/jobs/view/data-analyst-tableau-pharma-at-hays-3647696075?refId=W4Jq8D%2F3hMr4bcAkUBbrPw%3D%3D&trackingId=2bXc9pSEIsTunN198UzNIg%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst - QA Tester,Experfy,Barcelona,Hace 1 mes,https://es.linkedin.com/jobs/view/data-analyst-qa-tester-at-experfy-3646112530?refId=W4Jq8D%2F3hMr4bcAkUBbrPw%3D%3D&trackingId=32UTh6cqPkvd7e9OjsgEyQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
Analista Visualización de Datos,Hays,Barcelona,Hace 1 semana,https://es.linkedin.com/jobs/view/analista-visualizaci%C3%B3n-de-datos-at-hays-3652086149?refId=W4Jq8D%2F3hMr4bcAkUBbrPw%3D%3D&trackingId=IewWym1HIoAAbGHidImEwg%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Proton | Privacy by Default,Barcelona,Hace 5 días,https://es.linkedin.com/jobs/view/data-analyst-at-proton-privacy-by-default-3655234899?refId=W4Jq8D%2F3hMr4bcAkUBbrPw%3D%3D&trackingId=EfLeMkfYQD6ytRVfHVYlBg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Optimissa,Cornellà de Llobregat,Hace 4 días,https://es.linkedin.com/jobs/view/data-analyst-at-optimissa-3655380382?refId=W4Jq8D%2F3hMr4bcAkUBbrPw%3D%3D&trackingId=MTjFDg28hHP98yk0Dj9Fqw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Wallapop,Barcelona,Hace 1 mes,https://es.linkedin.com/jobs/view/data-analyst-at-wallapop-3641794492?refId=W4Jq8D%2F3hMr4bcAkUBbrPw%3D%3D&trackingId=YDtqIN9nhP0Y0cIwj%2FU25g%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Agap2 España,Sant Cugat del Vallès,Hace 5 días,https://es.linkedin.com/jobs/view/data-analyst-at-agap2-espa%C3%B1a-3655229201?refId=W4Jq8D%2F3hMr4bcAkUBbrPw%3D%3D&trackingId=xgBj9NZftf67Kc%2Bmn%2BtJlA%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
Senior Data Analyst,TravelPerk,Barcelona,Hace 2 meses,https://es.linkedin.com/jobs/view/senior-data-analyst-at-travelperk-3612708323?refId=W4Jq8D%2F3hMr4bcAkUBbrPw%3D%3D&trackingId=Kto853XVTIkrCRgLvBqefA%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
Analista de Datos con MicroStrategy y Power BI (f/m),T-Systems Iberia,Barcelona,Hace 5 días,https://es.linkedin.com/jobs/view/analista-de-datos-con-microstrategy-y-power-bi-f-m-at-t-systems-iberia-3654441361?refId=W4Jq8D%2F3hMr4bcAkUBbrPw%3D%3D&trackingId=Hnxk5RpQbyLDUBwC3Q6ZoQ%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
Business Data Analyst,Lyreco España,Cornellà de Llobregat,Hace 5 días,https://es.linkedin.com/jobs/view/business-data-analyst-at-lyreco-espa%C3%B1a-3601557391?refId=W4Jq8D%2F3hMr4bcAkUBbrPw%3D%3D&trackingId=rzcQZcw%2BekfoaNCVfa9AAQ%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
"Data Analyst - Barcelona, España",Triangle Talent - Solutions RRHH (España),Barcelona,Hace 3 días,https://es.linkedin.com/jobs/view/data-analyst-barcelona-espa%C3%B1a-at-triangle-talent-solutions-rrhh-espa%C3%B1a-3658333032?refId=W4Jq8D%2F3hMr4bcAkUBbrPw%3D%3D&trackingId=0ZZW7vXZj%2FxMjo7JIfp3sw%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Page Personnel,Sant Cugat del Vallès,Hace 3 semanas,https://es.linkedin.com/jobs/view/data-analyst-at-page-personnel-3660009585?refId=W4Jq8D%2F3hMr4bcAkUBbrPw%3D%3D&trackingId=Fd693DIbhvF%2BWCCfNzv5cA%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Grupo Planeta,Hospitalet de Llobregat,Hace 2 meses,https://es.linkedin.com/jobs/view/data-analyst-at-grupo-planeta-3596696248?refId=W4Jq8D%2F3hMr4bcAkUBbrPw%3D%3D&trackingId=6j26XfF4lvXmPw8N2Ad%2BiQ%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Sunhero,Barcelona,Hace 1 semana,https://es.linkedin.com/jobs/view/data-analyst-at-sunhero-3645233332?refId=W4Jq8D%2F3hMr4bcAkUBbrPw%3D%3D&trackingId=8KkMJQ1veEf1GCcBoxl%2BHg%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
Marketing Data Analyst (Junior),Grupo Planeta,Hospitalet de Llobregat,Hace 2 semanas,https://es.linkedin.com/jobs/view/marketing-data-analyst-junior-at-grupo-planeta-3639519589?refId=W4Jq8D%2F3hMr4bcAkUBbrPw%3D%3D&trackingId=28PeYhq5ZUvFEwSxhfCi6A%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,HOLA CONSULTORES SL,Barcelona,Hace 1 mes,https://es.linkedin.com/jobs/view/data-analyst-at-hola-consultores-sl-3622098728?refId=W4Jq8D%2F3hMr4bcAkUBbrPw%3D%3D&trackingId=hJ%2BMCKTmWz6Te7bDEk2CDQ%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
Marketing Data Analyst,Contentsquare,Barcelona,Hace 1 semana,https://es.linkedin.com/jobs/view/marketing-data-analyst-at-contentsquare-3630238515?refId=W4Jq8D%2F3hMr4bcAkUBbrPw%3D%3D&trackingId=24GFHKxG9jbGgC4l5CbsXA%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,HOLA CONSULTORES SL,Barcelona,Hace 1 mes,https://es.linkedin.com/jobs/view/data-analyst-at-hola-consultores-sl-3624462514?refId=W4Jq8D%2F3hMr4bcAkUBbrPw%3D%3D&trackingId=Rhc2nZD32siZvj26m97g3w%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Governance Analyst,Cognodata,Barcelona,Hace 2 semanas,https://es.linkedin.com/jobs/view/data-governance-analyst-at-cognodata-3641903494?refId=W4Jq8D%2F3hMr4bcAkUBbrPw%3D%3D&trackingId=jR0vjhyuK9D%2BL03iHZ%2F2Gw%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Quality Analyst,PepsiCo,Barcelona,Hace 1 semana,https://es.linkedin.com/jobs/view/data-quality-analyst-at-pepsico-3611365204?refId=W4Jq8D%2F3hMr4bcAkUBbrPw%3D%3D&trackingId=bxhYv%2BhSfwz1CKGtuBaJCQ%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Danone,Barcelona,Hace 3 meses,https://es.linkedin.com/jobs/view/data-analyst-at-danone-3591949304?refId=BiR9UMQQAXferEIPJ9Sn4A%3D%3D&trackingId=QZ76ob0RoMAs1Bw%2F4i%2Bzig%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Analyst,Popcarte,Barcelona,Hace 4 semanas,https://es.linkedin.com/jobs/view/data-analyst-at-popcarte-3632534242?refId=BiR9UMQQAXferEIPJ9Sn4A%3D%3D&trackingId=bynuNQiyJ%2B%2B%2F%2FD%2FiOE5BRg%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card
Middle Data Analyst - Python (Incorporación en septiembre) - Barcelona,Teralco Group,Barcelona,Hace 3 días,https://es.linkedin.com/jobs/view/middle-data-analyst-python-incorporaci%C3%B3n-en-septiembre-barcelona-at-teralco-group-3658323687?refId=BiR9UMQQAXferEIPJ9Sn4A%3D%3D&trackingId=K8KTrEcJLmSB8c6lo5z2wA%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card
Becario/a Analista de Datos,Grupo Planeta,Barcelona,Hace 2 semanas,https://es.linkedin.com/jobs/view/becario-a-analista-de-datos-at-grupo-planeta-3639526028?refId=BiR9UMQQAXferEIPJ9Sn4A%3D%3D&trackingId=LuSjg7Zs34qTdNzuuzMl0w%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card
BECARIO/A DATA ANALYST CLIENTE,MANGO,Barcelona,Hace 1 mes,https://es.linkedin.com/jobs/view/becario-a-data-analyst-cliente-at-mango-3654863732?refId=BiR9UMQQAXferEIPJ9Sn4A%3D%3D&trackingId=wr2Blrd1Umo8TgWKP%2FhILA%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card
Senior Data Analyst,MANGO,Barcelona,Hace 3 semanas,https://es.linkedin.com/jobs/view/senior-data-analyst-at-mango-3639779311?refId=BiR9UMQQAXferEIPJ9Sn4A%3D%3D&trackingId=2stMlbN3Xs3msWVHPetQMA%3D%3D&position=6&pageNum=1&trk=public_jobs_jserp-result_search-card
Business Intelligence / Data Analyst (m/f/d),TecAlliance,Barcelona,Hace 3 semanas,https://es.linkedin.com/jobs/view/business-intelligence-data-analyst-m-f-d-at-tecalliance-3640066164?refId=BiR9UMQQAXferEIPJ9Sn4A%3D%3D&trackingId=xcNMHHLEPZRqfCSB7kdn9A%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card
Senior Data Analyst,MANGO,Barcelona,Hace 1 mes,https://es.linkedin.com/jobs/view/senior-data-analyst-at-mango-3640479673?refId=BiR9UMQQAXferEIPJ9Sn4A%3D%3D&trackingId=lqsR6GcKQrbgAqvMEOwIFg%3D%3D&position=8&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Analyst (Operations Team),Holaluz.com,Barcelona,Hace 17 horas,https://es.linkedin.com/jobs/view/data-analyst-operations-team-at-holaluz-com-3659085512?refId=BiR9UMQQAXferEIPJ9Sn4A%3D%3D&trackingId=rdTcsB6fk%2FW1Xa9dgXvGTA%3D%3D&position=9&pageNum=1&trk=public_jobs_jserp-result_search-card
Junior Analytics Engineer,Exoticca,Barcelona,Hace 3 semanas,https://es.linkedin.com/jobs/view/junior-analytics-engineer-at-exoticca-3639804168?refId=BiR9UMQQAXferEIPJ9Sn4A%3D%3D&trackingId=PrwzQcrOpsemcM1aDwROGQ%3D%3D&position=10&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Analyst,Winning Spain,Barcelona,Hace 1 semana,https://es.linkedin.com/jobs/view/data-analyst-at-winning-spain-3647691336?refId=BiR9UMQQAXferEIPJ9Sn4A%3D%3D&trackingId=kEvYAA1%2BwkqN78zpHwZUzA%3D%3D&position=11&pageNum=1&trk=public_jobs_jserp-result_search-card
BI Data Analyst,eDreams ODIGEO,Barcelona,Hace 3 días,https://es.linkedin.com/jobs/view/bi-data-analyst-at-edreams-odigeo-3656553634?refId=BiR9UMQQAXferEIPJ9Sn4A%3D%3D&trackingId=JDFVt82rn4cEzMZmr1W5%2FA%3D%3D&position=12&pageNum=1&trk=public_jobs_jserp-result_search-card
BI Analyst - Tableau or other BI Tools,TransPerfect,Barcelona,Hace 2 meses,https://es.linkedin.com/jobs/view/bi-analyst-tableau-or-other-bi-tools-at-transperfect-3495642414?refId=BiR9UMQQAXferEIPJ9Sn4A%3D%3D&trackingId=EjGejTaz6Iwc%2Be7xH3IUtQ%3D%3D&position=13&pageNum=1&trk=public_jobs_jserp-result_search-card
Senior marketing Data Analyst,Antal International,Barcelona,Hace 3 días,https://es.linkedin.com/jobs/view/senior-marketing-data-analyst-at-antal-international-3656531741?refId=BiR9UMQQAXferEIPJ9Sn4A%3D%3D&trackingId=gcIJP7vYNdW9uIWkRFytLQ%3D%3D&position=14&pageNum=1&trk=public_jobs_jserp-result_search-card
Digital & Data Analyst,eDreams ODIGEO,Barcelona,Hace 5 horas,https://es.linkedin.com/jobs/view/digital-data-analyst-at-edreams-odigeo-3659043138?refId=BiR9UMQQAXferEIPJ9Sn4A%3D%3D&trackingId=MfNlU45gTzWj3Bk%2BeRadLg%3D%3D&position=15&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Analyst It · Barcelona,Malthus Darwin,Barcelona,Hace 2 semanas,https://es.linkedin.com/jobs/view/data-analyst-it-%C2%B7-barcelona-at-malthus-darwin-3645918485?refId=BiR9UMQQAXferEIPJ9Sn4A%3D%3D&trackingId=fwzf7nL5Tl%2F2bPCJG2K5wA%3D%3D&position=16&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Event Analyst,NextLink Group,Sant Cugat del Vallès,Hace 3 semanas,https://es.linkedin.com/jobs/view/data-event-analyst-at-nextlink-group-3638308681?refId=BiR9UMQQAXferEIPJ9Sn4A%3D%3D&trackingId=%2FcgAwlOepGPsfY4AgLyU%2Fw%3D%3D&position=17&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Analyst,The Knot Worldwide,Barcelona,Hace 4 días,https://es.linkedin.com/jobs/view/data-analyst-at-the-knot-worldwide-3657234795?refId=BiR9UMQQAXferEIPJ9Sn4A%3D%3D&trackingId=MW7tJqPDna3azvf5q2Ztsg%3D%3D&position=18&pageNum=1&trk=public_jobs_jserp-result_search-card
BI Analyst,Criteo,Barcelona,Hace 1 semana,https://es.linkedin.com/jobs/view/bi-analyst-at-criteo-3651025678?refId=BiR9UMQQAXferEIPJ9Sn4A%3D%3D&trackingId=lImKrUviqnk4f5Z%2FmVvAuA%3D%3D&position=19&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Analyst,Prosperity Recruitment,Barcelona,Hace 2 meses,https://es.linkedin.com/jobs/view/data-analyst-at-prosperity-recruitment-3626841679?refId=BiR9UMQQAXferEIPJ9Sn4A%3D%3D&trackingId=fPPnOcdKiloQBMSOxpZyDg%3D%3D&position=20&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Analyst,The Knot Worldwide,Sant Cugat del Vallès,Hace 4 días,https://es.linkedin.com/jobs/view/data-analyst-at-the-knot-worldwide-3657240489?refId=BiR9UMQQAXferEIPJ9Sn4A%3D%3D&trackingId=1LcS46FIHe0JjdUH0RGP3A%3D%3D&position=21&pageNum=1&trk=public_jobs_jserp-result_search-card
Analista de datos para para el Servicio de Movilidad (Bicing)   - Barcelona,Serveo,Barcelona,Hace 3 días,https://es.linkedin.com/jobs/view/analista-de-datos-para-para-el-servicio-de-movilidad-bicing-barcelona-at-serveo-3652468869?refId=BiR9UMQQAXferEIPJ9Sn4A%3D%3D&trackingId=VHxLf8wGVnLya4YAPK8HFw%3D%3D&position=22&pageNum=1&trk=public_jobs_jserp-result_search-card
Becario/a Analista de Datos,Grupo Planeta,Barcelona,Hace 3 semanas,https://es.linkedin.com/jobs/view/becario-a-analista-de-datos-at-grupo-planeta-3633367465?refId=BiR9UMQQAXferEIPJ9Sn4A%3D%3D&trackingId=ZR1e36BhbCBeXdvXbK8qvw%3D%3D&position=23&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Analyst (on-site),Michael Page,Barcelona,Hace 1 semana,https://es.linkedin.com/jobs/view/data-analyst-on-site-at-michael-page-3646989199?refId=BiR9UMQQAXferEIPJ9Sn4A%3D%3D&trackingId=w8YM2EGztKzsmRo3BfiWeQ%3D%3D&position=24&pageNum=1&trk=public_jobs_jserp-result_search-card
Procurement Data Analyst,Allianz Technology,Barcelona,Hace 4 semanas,https://es.linkedin.com/jobs/view/procurement-data-analyst-at-allianz-technology-3632195074?refId=BiR9UMQQAXferEIPJ9Sn4A%3D%3D&trackingId=hckkQY7%2FA%2ByF7epOspk1CQ%3D%3D&position=25&pageNum=1&trk=public_jobs_jserp-result_search-card
Senior Data Analyst - Growth (They/She/He),Glovo,Barcelona,Hace 3 días,https://es.linkedin.com/jobs/view/senior-data-analyst-growth-they-she-he-at-glovo-3614803215?refId=3CTUzeccfFXvdNcERFLVNQ%3D%3D&trackingId=ygmTWQJb0i7LHx5nzdzdUw%3D%3D&position=1&pageNum=2&trk=public_jobs_jserp-result_search-card
Senior Data Analyst,TravelPerk,Barcelona,Hace 3 semanas,https://es.linkedin.com/jobs/view/senior-data-analyst-at-travelperk-3636090866?refId=3CTUzeccfFXvdNcERFLVNQ%3D%3D&trackingId=YmAdUFVzb0h6WlzK0jVytQ%3D%3D&position=2&pageNum=2&trk=public_jobs_jserp-result_search-card
Product Data Analyst - Logistics - Supply&Demand (They/She/He),Glovo,Barcelona y alrededores,Hace 1 semana,https://es.linkedin.com/jobs/view/product-data-analyst-logistics-supply-demand-they-she-he-at-glovo-3646697703?refId=3CTUzeccfFXvdNcERFLVNQ%3D%3D&trackingId=h3Up5IrJ36SnyiYY9ZyFSQ%3D%3D&position=3&pageNum=2&trk=public_jobs_jserp-result_search-card
Staff Data Analyst,Kiwi.com,Barcelona,Hace 1 semana,https://es.linkedin.com/jobs/view/staff-data-analyst-at-kiwi-com-3649977456?refId=3CTUzeccfFXvdNcERFLVNQ%3D%3D&trackingId=bl8xBJ8HXNap%2FdYEwC1nLw%3D%3D&position=4&pageNum=2&trk=public_jobs_jserp-result_search-card
Digital Analytics Internship,aurorajobs,Barcelona,Hace 4 días,https://es.linkedin.com/jobs/view/digital-analytics-internship-at-aurorajobs-3654535280?refId=3CTUzeccfFXvdNcERFLVNQ%3D%3D&trackingId=j3hIJZfR0uD576B75usv%2BA%3D%3D&position=5&pageNum=2&trk=public_jobs_jserp-result_search-card
Data Insights Analyst - DCR,Schneider Electric,Barcelona,Hace 1 mes,https://es.linkedin.com/jobs/view/data-insights-analyst-dcr-at-schneider-electric-3624595839?refId=3CTUzeccfFXvdNcERFLVNQ%3D%3D&trackingId=N6sZhQl%2FVlk0eEzedmHzOw%3D%3D&position=6&pageNum=2&trk=public_jobs_jserp-result_search-card
Business Intelligence / Data Analyst (m/w/d),TecAlliance,Barcelona,Hace 3 semanas,https://es.linkedin.com/jobs/view/business-intelligence-data-analyst-m-w-d-at-tecalliance-3640065329?refId=3CTUzeccfFXvdNcERFLVNQ%3D%3D&trackingId=233ChfNPFkyIAqa7zXS7Yg%3D%3D&position=7&pageNum=2&trk=public_jobs_jserp-result_search-card
Data Engineer,Coniq,Barcelona,Hace 1 mes,https://es.linkedin.com/jobs/view/data-engineer-at-coniq-3609300512?refId=3CTUzeccfFXvdNcERFLVNQ%3D%3D&trackingId=IJPm9FmF7SyNTBk%2Bon%2BIGw%3D%3D&position=8&pageNum=2&trk=public_jobs_jserp-result_search-card
Data Engineer,Experfy,Barcelona,Hace 1 mes,https://es.linkedin.com/jobs/view/data-engineer-at-experfy-3646111584?refId=3CTUzeccfFXvdNcERFLVNQ%3D%3D&trackingId=CLxWSXoe7uJqQqOiNgMZPw%3D%3D&position=9&pageNum=2&trk=public_jobs_jserp-result_search-card
Senior Data Analyst,PayFit France,Barcelona,Hace 1 semana,https://es.linkedin.com/jobs/view/senior-data-analyst-at-payfit-france-3648770011?refId=3CTUzeccfFXvdNcERFLVNQ%3D%3D&trackingId=7dF7uVYEwbB1X%2BhBE2DJ8A%3D%3D&position=10&pageNum=2&trk=public_jobs_jserp-result_search-card
